"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
316.0,511597.8100728649,337640.2953851035
317.0,511581.41148674156,337656.94206046953
318.0,511565.1785388921,337673.2077830734
319.0,511549.12816696265,337689.08399790386
320.0,511533.2783459162,337704.5631069173
321.0,511517.6467287574,337719.63887038315
322.0,511502.24170673295,337734.3068648348
323.0,511487.0806545189,337748.5647117086
324.0,511472.1785751395,337762.412546635
325.0,511457.5429713005,337775.85322785145
326.0,511443.1719831096,337788.8925221684
327.0,511429.06106507796,337801.53916564595
328.0,511415.1915825122,337813.8046771166
329.0,511401.5497733017,337825.7034526232
330.0,511388.1375340801,337837.2523364273
331.0,511374.95134236466,337848.4702818324
332.0,511361.98024327174,337859.37805227627
333.0,511349.21485038806,337869.9977313461
334.0,511336.64578570053,337880.35190410214
335.0,511324.26780627645,337890.4612641908
336.0,511312.0646769054,337900.3476521179
337.0,511300.0292567927,337910.0336072069
338.0,511288.16205933684,337919.53957583767
339.0,511276.45624567656,337928.88312099443
340.0,511264.90134814335,337938.0785622992
341.0,511253.4965006064,337947.1382664325
342.0,511242.2391731318,337956.0722470432
343.0,511231.1267487111,337964.888442256
344.0,511220.2486673587,337973.59407015727
345.0,511209.4441567189,337982.1908094662
346.0,511198.734842398,337990.6809498248
347.0,511188.146345624,337999.06389320875
348.0,511177.6894818803,338007.3387168397
349.0,511167.3656056424,338015.5045062079
350.0,511157.1762188822,338023.5593709591
351.0,511147.1205208202,338031.5014933816
352.0,511137.19280793064,338039.3294069057
353.0,511127.38905883214,338047.04200417263
354.0,511117.70591171645,338054.6389448326
355.0,511108.14746035915,338062.120508253
356.0,511098.7166383744,338069.4878499628
357.0,511089.41426816775,338076.7426650249
358.0,511080.2408295874,338083.8871690597
359.0,511071.1909884393,338090.9241042304
360.0,511062.2605695003,338097.85676496394
361.0,511053.44583287043,338104.68838522513
362.0,511044.7441935314,338111.4223838825
363.0,511036.15416837257,338118.062036898
364.0,511027.6735879852,338124.6104738282
365.0,511019.3004399839,338131.0704362704
366.0,511011.0325490689,338137.4442315398
367.0,511002.8635049092,338143.7339255042
368.0,510994.79024109716,338149.93992989755
369.0,510986.8221551144,338156.06315285707
370.0,510978.9650582745,338162.10488879395
371.0,510971.21626088605,338168.06623351586
372.0,510963.5676341182,338173.9476699186
373.0,510956.0089548907,338179.74905396614
374.0,510948.5326133091,338185.47013257944
375.0,510941.1325073732,338191.11055540264
376.0,510933.8039926114,338196.67016835435
377.0,510926.54220455687,338202.1490345408
378.0,510919.34279680334,338207.5473763547
379.0,510912.2039356163,338212.8656738114
380.0,510905.12010045524,338218.1047201449
381.0,510898.0671721446,338223.26561510516
382.0,510891.0468896888,338228.3497100927
383.0,510884.06247549213,338233.3586700691
384.0,510877.12040720525,338238.29447433876
385.0,510870.2258014681,338243.15940775
386.0,510863.38248758577,338247.9560170385
387.0,510856.59708823997,338252.68704535713
388.0,510849.8732689282,338257.35546687443
389.0,510843.21253372985,338261.96432607085
390.0,510836.61670526065,338266.51687218726
391.0,510830.08755054796,338271.01641651016
392.0,510823.62998540065,338275.46632979746
393.0,510817.2492194757,338279.86995685427
394.0,510810.9525365715,338284.2305556249
395.0,510804.7319000785,338288.55134014157
396.0,510798.5834157358,338292.83543273015
397.0,510792.50583846145,338297.0858483207
398.0,510786.49762320117,338301.3055483158
399.0,510780.4948675574,338305.49728584994
400.0,510774.4813927026,338309.66368779086
401.0,510768.50447883015,338313.8072614206
402.0,510762.5814318445,338317.9302971636
403.0,510756.72597160906,338322.0348655551
404.0,510750.9335995787,338326.1228113335
405.0,510745.2028974241,338330.1957079856
406.0,510739.53448536,338334.2548575618
407.0,510733.9289940691,338338.30126913585
408.0,510728.391203945,338342.33572521555
409.0,510722.92354645464,338346.35844178015
410.0,510717.5319900643,338350.369684586
411.0,510712.209586042,338354.3690918602
412.0,510706.95652157586,338358.3557195489
413.0,510701.7711437572,338362.32830228517
414.0,510696.65247574606,338366.2853268915
415.0,510691.5971352014,338370.2249937607
416.0,510686.6017969365,338374.14522113156
417.0,510681.6638613223,338378.0436769282
418.0,510676.7510705372,338381.91783004405
419.0,510671.8486909459,338385.76502731704
420.0,510666.985149762,338389.5825602464
421.0,510662.1744039466,338393.36772532616
422.0,510657.42424166645,338397.1179101603
423.0,510652.7380699836,338400.8305847168
424.0,510648.1182998789,338404.5033983039
425.0,510643.56447651045,338408.134228998
426.0,510639.07520127826,338411.72120724735
427.0,510634.6504533093,338415.26272939483
428.0,510630.28772041324,338418.7574497572
429.0,510625.98457316984,338422.2042793479
430.0,510621.73685195355,338425.6023799085
431.0,510617.5426837411,338428.9511463447
432.0,510613.40370017797,338432.25018590834
433.0,510609.31688303157,338435.4993009464
434.0,510605.2807501287,338438.69847336126
435.0,510601.2962568053,338441.84783194255
436.0,510597.36484698753,338444.9476740839
437.0,510593.48679172783,338447.99842949765
438.0,510589.6606564978,338451.00066223275
439.0,510585.8845495606,338453.95506848936
440.0,510582.1568007129,338456.86247749574
441.0,510578.47594120743,338459.72383423225
442.0,510574.8408609908,338462.5402029238
443.0,510571.2505989863,338465.31276446424
444.0,510567.70403532987,338468.0427940319
445.0,510564.2004060466,338470.73165499076
446.0,510560.74752849643,338473.3808028867
447.0,510557.36081998405,338475.99171044974
448.0,510554.04200497677,338478.56586910447
449.0,510550.77987359284,338481.10479946784
450.0,510547.5616881143,338483.61003579164
451.0,510544.37556099123,338486.0830933714
452.0,510541.21385331044,338488.5254327065
453.0,510538.07510969613,338490.9384396103
454.0,510534.95763405034,338493.3234015127
455.0,510531.86267997883,338495.6815698349
456.0,510528.7886561961,338498.0139136779
457.0,510525.7394925778,338500.3213591482
458.0,510522.7245590071,338502.6047057297
459.0,510519.7465158735,338504.86465294106
460.0,510516.8079178707,338507.10178921226
461.0,510513.91219635255,338509.3166072406
462.0,510511.0640009598,338511.50959697197
463.0,510508.2644740662,338513.6809950745
464.0,510505.5148248671,338515.831094029
465.0,510502.8166745087,338517.9588460746
466.0,510500.17058953736,338520.06653958483
467.0,510497.5766192991,338522.1542275962
468.0,510495.03285621246,338524.2218235531
469.0,510492.53758452955,338526.26952113985
470.0,510490.0900378012,338528.2976461664
471.0,510487.6893159788,338530.3067064608
472.0,510485.33490840864,338532.2971178759
473.0,510483.0260565219,338534.2694628846
474.0,510480.761822653,338536.22437212814
475.0,510478.54133484216,338538.162594156
476.0,510476.36252367793,338540.08470183675
477.0,510474.2237687997,338541.9913860317
478.0,510472.12411516445,338543.8833033006
479.0,510470.06331820553,338545.7611031579
480.0,510468.0401649091,338547.6251394272
481.0,510466.05306949804,338549.475693763
482.0,510464.10091756494,338551.31284579507
483.0,510462.1838510068,338553.1364452431
484.0,510460.3017683262,338554.9460587252
485.0,510458.4545597266,338556.74096558016
486.0,510456.6416081876,338558.5200089721
