"Iteration","volume avg. inflow (Turbine1) Monitor: volume avg. inflow (Turbine1) Monitor (m/s)","volume avg. inflow (Turbine2) Monitor: volume avg. inflow (Turbine2) Monitor (m/s)"
54.0,1.910719587245828,1.7593203326957687
55.0,1.9115121988070671,1.7575406666975923
56.0,1.9122329196048862,1.757016313777135
57.0,1.9128785120582295,1.7572547035951924
58.0,1.9134080201370267,1.7585779237254735
59.0,1.913877224252488,1.7604958515996127
60.0,1.914296905636386,1.7632589744007852
61.0,1.9146520701920495,1.7663951641921516
62.0,1.9149356370554398,1.7701057020592854
63.0,1.915180796521834,1.7739961534258204
64.0,1.9153686969066943,1.7782447775463357
65.0,1.915531055618265,1.7824022344349544
66.0,1.9156918640340772,1.7867504145566615
67.0,1.915815273440044,1.7909351928428356
68.0,1.91588643893544,1.795021417322316
69.0,1.9159586755911622,1.798869523388192
70.0,1.9160493928123965,1.8026298672027772
71.0,1.9161155644848051,1.8060526058369915
72.0,1.916162076348543,1.8092531655960677
73.0,1.9161907276651975,1.8120766825182921
74.0,1.9162238539466754,1.8146735050674911
75.0,1.9162835908304476,1.8170830405194507
76.0,1.9163278824794385,1.8192197420315013
77.0,1.9163559641680654,1.821087044628781
78.0,1.9163872894807896,1.822802618872661
79.0,1.9164243082233898,1.824367097322808
80.0,1.9164581214121166,1.8257694771746311
81.0,1.9164885843710862,1.8270314544422923
82.0,1.9165194527253444,1.8281892865845835
83.0,1.9165466196319372,1.8292544847070884
84.0,1.9165748087727177,1.830247754624991
85.0,1.9166033334060308,1.8311679547378594
86.0,1.9166309173790255,1.8320451917054275
87.0,1.916652955585476,1.8328524476526245
88.0,1.9166769186152168,1.8336290002129454
89.0,1.9166998827980195,1.8343470834688673
90.0,1.9167222327657514,1.83503301397382
91.0,1.9167387446422965,1.835661718331117
92.0,1.9167570330005055,1.8362583187496833
93.0,1.9167741320221061,1.836806666798787
94.0,1.9167909056044363,1.8373189999262476
95.0,1.9168020499473197,1.8377829159177388
96.0,1.9168155219862952,1.8382132205362365
97.0,1.9168277050574245,1.8386024833835444
98.0,1.9168400271196098,1.8389592068766876
99.0,1.916848782702735,1.8392776616913808
100.0,1.9168587711752598,1.8395672159045453
101.0,1.9168668183903304,1.8398258531634382
102.0,1.9168754973161624,1.840059145228262
103.0,1.9168802960324942,1.8402576233656716
104.0,1.916885931923776,1.8404390790999339
105.0,1.9168908917616316,1.8406106366720256
106.0,1.9168969079174154,1.8407609292153624
107.0,1.9169016796553822,1.8408840651126177
108.0,1.9169062694903303,1.8409994960689369
109.0,1.9169101758299114,1.8411131504104634
110.0,1.9169150428667254,1.8412122265437951
111.0,1.9169202723623953,1.841293267381344
112.0,1.9169245527014995,1.8413706116394286
113.0,1.9169241600004812,1.8414393777455613
114.0,1.916925930548515,1.8415027020502541
115.0,1.9169297935529477,1.8415634713489417
116.0,1.916932735168427,1.8416183989306683
117.0,1.916934919243224,1.8416686307781702
118.0,1.9169375004352134,1.8417157515587337
119.0,1.9169395367124165,1.8417589621204136
120.0,1.916941865939468,1.8417997944590998
121.0,1.9169446853357097,1.8418388714865466
122.0,1.9169472493601973,1.84187499134016
123.0,1.9169478775176236,1.8419048627917685
124.0,1.9169493040596404,1.84193453735928
125.0,1.9169509005685903,1.8419642270579886
126.0,1.9169528464522214,1.8419917125824128
127.0,1.9169555316807547,1.842013279779395
128.0,1.9169559787897683,1.8420339090006326
129.0,1.9169569059595557,1.8420544740074758
130.0,1.9169579167028847,1.842073352380459
131.0,1.9169589726711922,1.842091991505443
132.0,1.9169604483235756,1.8421097468721765
133.0,1.916962087774816,1.842125916508918
134.0,1.9169635973006218,1.8421370772688088
135.0,1.9169648589986412,1.8421490398199063
136.0,1.9169644213309804,1.84215997199813
137.0,1.9169648767581242,1.8421702966532978
138.0,1.9169670353203299,1.842180967731867
139.0,1.9169684394724207,1.8421907749459017
140.0,1.9169689446431728,1.8421978155196455
141.0,1.9169696397319453,1.842204991153742
142.0,1.9169697390693978,1.84221222814382
143.0,1.9169703889559764,1.8422192295252233
144.0,1.916971217038061,1.8422257581611743
