"Iteration","Torque (Turbine1) Monitor: Torque (Turbine1) Monitor (N-m)","Torque (Turbine2) Monitor: Torque (Turbine2) Monitor (N-m)"
518.0,35617.76846882771,89268.75028577642
519.0,35617.76674113615,89270.19063503297
520.0,35617.76229534621,89271.39059286678
521.0,35617.751689886805,89272.41101313177
522.0,35617.73484888489,89273.30131344999
523.0,35617.711453830976,89274.10590004986
524.0,35617.68111250775,89274.86926343503
525.0,35617.64406569512,89275.60634272007
526.0,35617.60096247612,89276.32756514603
527.0,35617.55142478469,89277.0429351416
528.0,35617.4962005328,89277.76273987452
529.0,35617.4360251069,89278.49728115398
530.0,35617.371577842016,89279.25365883291
531.0,35617.30354963918,89280.0386849819
532.0,35617.232443098954,89280.85515593528
533.0,35617.15873043929,89281.70141218134
534.0,35617.08281690108,89282.57732001746
535.0,35617.00403546657,89283.484512308
536.0,35616.92251061102,89284.4203662475
537.0,35616.83970619754,89285.37977554875
538.0,35616.75561425049,89286.3608688151
539.0,35616.67027937149,89287.36120711142
540.0,35616.58388250369,89288.37811957396
541.0,35616.4967540804,89289.4091324514
542.0,35616.409159099676,89290.45151349591
543.0,35616.32062069876,89291.50132764986
544.0,35616.232258438526,89292.55920522468
545.0,35616.145148890464,89293.62285128303
546.0,35616.05849454799,89294.6910968496
547.0,35615.97234888709,89295.76258851272
548.0,35615.886703393575,89296.83550191436
549.0,35615.801536875486,89297.90808989471
550.0,35615.71685905084,89298.97859797033
551.0,35615.63271938791,89300.04531583816
552.0,35615.54919497753,89301.10689973494
553.0,35615.46637706162,89302.16162710908
554.0,35615.38436317345,89303.20787395844
555.0,35615.30327209851,89304.24413271593
556.0,35615.223235422316,89305.26928719156
557.0,35615.14436896134,89306.2823065143
558.0,35615.06678099979,89307.2823298106
559.0,35614.990555099124,89308.26863441418
560.0,35614.91575048435,89309.24056113337
561.0,35614.84240044165,89310.19753245302
562.0,35614.770514466734,89311.1390619466
563.0,35614.700087894016,89312.06471837414
564.0,35614.63110210072,89312.97415395787
565.0,35614.56353677892,89313.86706550374
566.0,35614.49737207737,89314.74349186821
567.0,35614.43259354831,89315.60316350308
568.0,35614.36919174938,89316.44582093663
569.0,35614.307154390815,89317.27134965398
570.0,35614.24647261073,89318.07969501929
571.0,35614.187141980656,89318.87083694647
572.0,35614.12915595708,89319.64479914677
573.0,35614.07251060901,89320.40164884306
574.0,35614.01720103928,89321.14153394752
575.0,35613.96321759139,89321.8646128293
576.0,35613.91054657128,89322.57106374794
577.0,35613.85917095799,89323.26110390176
578.0,35613.80907111212,89323.93496433136
579.0,35613.76116100504,89324.59140555063
580.0,35613.71307628718,89325.23481229303
581.0,35613.66663743369,89325.86156373366
582.0,35613.62140376793,89326.47340586895
583.0,35613.57735019111,89327.07035938268
584.0,35613.53442956917,89327.65294181374
585.0,35613.492584695494,89328.22110152667
586.0,35613.45177267535,89328.77517190814
587.0,35613.4119681342,89329.31546260632
588.0,35613.37316189511,89329.84228327454
589.0,35613.3353514086,89330.35597155087
590.0,35613.29853247951,89330.85684570478
591.0,35613.26269490234,89331.34518552851
592.0,35613.2278208199,89331.82126425687
593.0,35613.19388614298,89332.28534695439
594.0,35613.160863485136,89332.73769592431
595.0,35613.128724330614,89333.1785768838
596.0,35613.09744050094,89333.60825223685
597.0,35613.06698534291,89334.02697805864
598.0,35613.037333958004,89334.43500612307
599.0,35613.008463169615,89334.83258501548
600.0,35612.98035189223,89335.2199597296
601.0,35612.95298097462,89335.59737438968
602.0,35612.92633136973,89335.96516172949
603.0,35612.90038219405,89336.32367378508
604.0,35612.87511296708,89336.67318144352
605.0,35612.850504178394,89337.01390377645
606.0,35612.826537020024,89337.34604657369
607.0,35612.803193905536,89337.66981452196
608.0,35612.78045880839,89337.9854198675
609.0,35612.75831632165,89338.29306515514
610.0,35612.736751232485,89338.5929516754
611.0,35612.71574861772,89338.88527392493
612.0,35612.695293532845,89339.17022406329
613.0,35612.675371219775,89339.44799084983
614.0,35612.65596717877,89339.71875778552
615.0,35612.63706740812,89339.98270362827
616.0,35612.61865829918,89340.24000287856
617.0,35612.60072728949,89340.49090376569
618.0,35612.58326129106,89340.7358190807
619.0,35612.566242281355,89340.97498447931
620.0,35612.5496550249,89341.20843357287
621.0,35612.5334838338,89341.4362882425
622.0,35612.51771386702,89341.65872531678
623.0,35612.50233151548,89341.87592478731
624.0,35612.48732426968,89342.08805083137
625.0,35612.47268062716,89342.29524630489
626.0,35612.458389944804,89342.49763261671
627.0,35612.44444241077,89342.69531837813
628.0,35612.430829085606,89342.88840573333
629.0,35612.4175419191,89343.07699408682
630.0,35612.404573713065,89343.26118133529
631.0,35612.391917882705,89343.44106571296
632.0,35612.37956811543,89343.61674565803
633.0,35612.367518059866,89343.78831897044
634.0,35612.35576107834,89343.95588358866
635.0,35612.34429014797,89344.11953658295
636.0,35612.333097901625,89344.27937353594
637.0,35612.3221767289,89344.43548766249
638.0,35612.311518940965,89344.58796968887
639.0,35612.30111689259,89344.7369071848
640.0,35612.29096316561,89344.88238578383
641.0,35612.28105062252,89345.02448911838
642.0,35612.27137245791,89345.16329861837
643.0,35612.26192223233,89345.29889359299
644.0,35612.25269385052,89345.43135118578
645.0,35612.24368153258,89345.56074650315
