"Turbulence_Intensity_(local)","X (m)","Y (m)","Z (m)"
0.100586487977847,-12.5,25,30
0.105340530053459,-10,25,30
0.100791807120744,-7.5,25,30
0.101733764758734,-5,25,30
0.100419485011639,-2.5,25,30
0.0992120332188189,0,25,30
0.0992120332188189,2.5,25,30
0.0983283435347655,5,25,30
0.0977976919915281,7.5,25,30
0.0977976919915281,10,25,30
0.0957659733977138,12.5,25,30
0.103598196661975,15,25,30
0.110302007213655,17.5,25,30
0.102918626656813,20,25,30
0.102918626656813,22.5,25,30
0.10605513533711,25,25,30
0.122534289799805,27.5,25,30
0.122534289799805,30,25,30
0.113964193745411,32.5,25,30
0.113964193745411,35,25,30
0.137308703220826,37.5,25,30
0.137308703220826,40,25,30
0.116417345294887,42.5,25,30
0.143996916752011,45,25,30
0.11054478169739,47.5,25,30
0.130354993801108,50,25,30
0.130354993801108,52.5,25,30
0.128871257370584,55,25,30
0.128871257370584,57.5,25,30
0.111250112759628,60,25,30
0.111250112759628,62.5,25,30
0.111250112759628,65,25,30
0.126294278854621,67.5,25,30
0.110995079896075,70,25,30
0.110995079896075,72.5,25,30
0.127540060684803,75,25,30
0.115356867342396,77.5,25,30
0.115356867342396,80,25,30
0.109560291378709,82.5,25,30
0.109560291378709,85,25,30
0.109560291378709,87.5,25,30
0.118404351979372,90,25,30
0.118404351979372,92.5,25,30
0.118404351979372,95,25,30
0.118182326139245,97.5,25,30
0.118182326139245,100,25,30
0.118182326139245,102.5,25,30
0.115948208834626,105,25,30
0.115948208834626,107.5,25,30
0.115948208834626,110,25,30
0.115986908085124,112.5,25,30
0.11035295613053,115,25,30
0.11035295613053,117.5,25,30
0.11035295613053,120,25,30
0.113499119271433,122.5,25,30
0.113499119271433,125,25,30
0.113499119271433,127.5,25,30
